"id","hhid","adm3","pack","variety_a","variety_b","variety_c","adm1","gender","age","elevation","lon","lat","planting_date","harverst_date","irrigation","fertilization","slope","vigor_best","vigor_worst","size_best","size_worst","pest_resistance_best","pest_resistance_worst","disease_resistance_best","disease_resistance_worst","drought_resistance_best","drought_resistance_worst","yield_best","yield_worst","market_value_best","market_value_worst","taste_best","taste_worst","overall_best","overall_worst","local_vs_var_a","local_vs_var_b","local_vs_var_c"
"honduras_salvador_rojo_2015_15",21962,"San Francisco Cones","paquete 141","RS 907-28","Seda","RRH 336-28","Sensenti","F",65,NA,-88.92608643,14.50914435,"2015-09-11","2015-11-30","No","Yes","plain","C","A","C","A",NA,NA,NA,NA,NA,NA,"B","C","B","C","B","A","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_150",33806,"Rodeo","paquete 73","BRT 103- 182","Seda","MHR 311-17","Masahuat","M",36,NA,NA,NA,"2015-09-27",NA,"No","Yes","medium","B","C","B","C",NA,NA,"B","A","A","B","B","C","B","C","B","C","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_151",33752,"Rodeo","paquete 71","RRH 336-28","SJC 730-79","SRS2-36-34","Masahuat","M",32,NA,NA,NA,"2015-09-26","2015-12-16","No","Yes","medium","C","A","C","A","C","A","C","A",NA,NA,"C","B","C","B","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_152",33662,"Rodeo","paquete 69","RS 907-28","Amadeus 77","BRT 103- 182","Masahuat","M",59,NA,NA,NA,"2015-09-24","2015-12-13","No","Yes","plain","A","C","B","C","C","B","C","A","B","A","C","B","C","B","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_154",33824,"Rodeo","paquete 74","ALS 0532-6","SJC 730-79","SRS2-36-34","Masahuat","M",77,628.8972168,-89.4070962,14.18828712,"2015-09-26","2015-12-03","No","Yes","plain","B","A","C","B","C","A","C","A","C","B","C","B","C","B","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_157",31961,"Chilin de Argueta","paquete 93","SJC 730-79","MHR 311-17","Seda","Masahuat","M",21,NA,NA,NA,"2015-09-29","2015-12-28","No","Yes","medium","B","A","B","C","C","A","C","A",NA,NA,"C","B","C","B","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_158",32294,"Chilin de Argueta","paquete 103","RS 909-35","RS 907-28","MHR 311-17","Masahuat","M",24,NA,NA,NA,"2015-10-02","2015-12-26","No","Yes","medium","B","A","B","A",NA,NA,NA,NA,NA,NA,"B","C","B","C","B","C","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_161",31907,"Chilin de Argueta","paquete 90","MHR 311-17","SJC 730-79","ALS 0532-6","Masahuat","M",30,NA,NA,NA,"2015-10-28","2016-01-12","No","Yes","medium","B","A","B","A",NA,NA,"B","A","B","A","B","C","B","C","B","C","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_163",32276,"Chilin de Argueta","paquete 101","Amadeus 77","RRH 336-28","SJC 730-79","Masahuat","M",63,NA,NA,NA,"2015-09-21","2015-12-01","No","Yes","medium","A","C","A","C","A","C","A","C",NA,NA,"A","B","A","B","A","B","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_164",32186,"Chilin de Argueta","paquete 98","Amadeus 77","SRS2-36-34","RRH 336-28","Masahuat","M",23,NA,NA,NA,"2015-09-25","2015-12-16","No","Yes","medium","B","A","A","C",NA,NA,NA,NA,NA,NA,"A","B","A","B","A","B","A","C","Better","Worse","Worse"
