id,hhid,adm3,pack,variety_a,variety_b,variety_c,adm1,gender,age,elevation,lon,lat,planting_date,harverst_date,irrigation,fertilization,slope,char_1,best_1,worst_1,char_2,best_2,worst_2,char_3,best_3,worst_3,char_4,best_4,worst_4,char_5,best_5,worst_5,char_6,best_6,worst_6,char_7,best_7,worst_7,char_8,best_8,worst_8,char_9,best_9,worst_9,char_10,local_vs_var_a,local_vs_var_b,local_vs_var_c
guatemala_negro_2015_73,37217,La Lima,paquete 279,ICTAZAM ML,MHN 322-49,ICTA Sayaxche ML,Camotan,M,40,NA,-89.35317993,14.8293189,2015-09-20,2015-12-14,No,Yes,medium,vigor,C,B,size,C,B,pest_resistance,C,A,disease_resistance,C,A,drought_resistance,C,A,yield,NA,NA,market_value,C,B,taste,B,C,overall,C,A,overall_vs_local,Worse,Worse,Better
guatemala_negro_2015_77,37262,La Lima,paquete 275,MHN 322-49,Azabache 40,ICTA Vaina Roja,Camotan,M,36,NA,-89.3586731,14.83462904,2015-09-12,2015-12-15,No,Yes,medium,vigor,A,C,size,A,C,pest_resistance,B,C,disease_resistance,A,C,drought_resistance,A,C,yield,A,C,market_value,A,C,taste,A,C,overall,A,C,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_84,65441,Piedra de Amolar,paquete 141,ICTA Ligero (testigo),MEN 2201-64 ML,ICTA Vaina Roja,Esquipulas,F,28,NA,-89.3083154,14.7139833,2015-09-18,2015-12-28,No,Yes,high,vigor,A,C,size,A,C,pest_resistance,A,B,disease_resistance,A,B,drought_resistance,A,C,yield,A,C,market_value,A,C,taste,A,B,overall,A,C,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_85,65522,Piedra de Amolar,paquete 142,SEQ 342-87 ML,SEQ 342-89,MHN 322-49,Esquipulas,F,28,NA,-89.32846069,14.5702926,2015-09-28,2015-12-20,No,No,medium,vigor,A,B,size,A,B,pest_resistance,A,B,disease_resistance,A,B,drought_resistance,A,B,yield,A,B,market_value,B,A,taste,B,A,overall,A,C,overall_vs_local,Better,Better,Better
guatemala_negro_2015_89,65162,Piedra de Amolar,paquete 146,ICTA Peten ML,Azabache 40,SEQ 342-89,Esquipulas,F,56,NA,-89.33395386,14.56630519,2015-10-20,2016-01-03,No,Yes,plain,vigor,B,C,size,B,C,pest_resistance,NA,NA,disease_resistance,C,B,drought_resistance,C,A,yield,C,A,market_value,C,A,taste,C,A,overall,C,A,overall_vs_local,Better,Better,Better
guatemala_negro_2015_9,41708,La Majada,paquete 93,MHN 322-49,ICTA Sayaxche ML,ICTA Peten ML,San. Jacinto,F,63,NA,-89.4974704,14.7147136,2015-09-16,2015-12-04,No,No,plain,vigor,A,C,size,A,C,pest_resistance,NA,NA,disease_resistance,NA,NA,drought_resistance,NA,NA,yield,A,C,market_value,B,A,taste,A,C,overall,A,C,overall_vs_local,Better,Better,Worse
guatemala_negro_2015_91,65612,Piedra de Amolar,paquete 148,ICTA Ligero (testigo),SEQ 342-87 ML,ICTA Vaina Roja,Esquipulas,M,56,NA,-89.33258057,14.5623177,2015-09-17,NA,No,Yes,high,vigor,C,A,size,C,A,pest_resistance,C,A,disease_resistance,C,A,drought_resistance,C,A,yield,C,A,market_value,C,A,taste,C,A,overall,C,A,overall_vs_local,Worse,Worse,Better
guatemala_negro_2015_99,15626,Linda Vista - Casco Urbano,paquete 116,ICTA Sayaxche ML,ICTA Vaina Roja,SEQ 342-89,San Juan Ermita,M,27,NA,-89.46578979,14.74433904,2015-09-19,2015-12-14,No,Yes,medium,vigor,B,C,size,B,C,pest_resistance,B,C,disease_resistance,B,C,drought_resistance,B,C,yield,A,B,market_value,A,B,taste,A,B,overall,A,C,overall_vs_local,Better,Worse,Worse
honduras_salvador_rojo_2015_101,30692,San Ramon,paquete 4,SRS2-36-34,RS 907-28,ALS 0532-6,Citala,F,46,NA,-89.1706664,14.3168939,2015-09-20,2015-12-09,No,Yes,medium,vigor,A,C,size,A,C,pest_resistance,A,C,disease_resistance,A,C,drought_resistance,NA,NA,yield,A,B,market_value,B,A,taste,B,A,overall,B,C,overall_vs_local,Worse,Better,Worse
honduras_salvador_rojo_2015_102,30719,San Ramon,paquete 5,RRH 336-28,BRT 103- 182,SJC 730-79,Citala,F,37,NA,-89.1706755,14.3169708,2015-09-17,2015-12-09,No,Yes,high,vigor,C,A,size,C,A,pest_resistance,C,A,disease_resistance,C,A,drought_resistance,NA,NA,yield,C,B,market_value,C,B,taste,C,B,overall,C,A,overall_vs_local,Worse,Worse,Worse
